Time,rwl_wheel_direction,rwl_wheel_speed,rwl_est_frict_torque,rwl_frict_coeff,rwl_meas_ang_mom
5248805,0,0.507715818465291,0.603364632402679,0.0300300820006796,0.507704279883508
5252405,0,0.508891894404831,0.605333760147121,0.0300573548662522,0.50888248025657
5256005,0,0.510097319258219,0.60711675880507,0.0300745529391422,0.510087355206559
5259605,0,0.511317772106163,0.60848557809842,0.0300699425016957,0.511309216460222
5263205,0,0.512545624632449,0.608951377307166,0.030021139835296,0.512537300341837
5266805,0,0.513774829204408,0.608595503639055,0.0299321392669202,0.513769081493902
5270405,0,0.515003127505534,0.607658879614434,0.029815471956119,0.514998232505658
5274005,0,0.516233011550599,0.606817549284691,0.0297043004367681,0.516225870141207
5277605,0,0.517460176783167,0.60686463924486,0.0296353719153342,0.517454390158267
5281205,0,0.518683527397593,0.607648613658033,0.0296028446756413,0.518676537726348
5284805,0,0.519903113537795,0.608937830924173,0.029595800394215,0.519896576770274
5288405,0,0.521115743934352,0.610395934871734,0.0295972444799066,0.521109228166909
5292005,0,0.522321053318715,0.611809188694446,0.0295972767957413,0.522314078299918
5295605,0,0.523519254687531,0.613381198925023,0.0296053073788824,0.523511591338743
5299205,0,0.524718162211538,0.614984707340591,0.0296146725058834,0.524707347427297
5302805,0,0.525914283297764,0.616499425756731,0.0296200624905105,0.525904541062398
5306405,0,0.527113415779354,0.617704129169815,0.0296104498302042,0.527105267440562
5310005,0,0.528318323092292,0.618571331654118,0.0295846707900319,0.528310024739683
5313605,0,0.529523512867307,0.619113025650121,0.0295430412820705,0.529515330769807
5317205,0,0.530724444089482,0.619597287875365,0.0294994822315514,0.530717137146174
5320805,0,0.531923291808816,0.620293814160402,0.0294662136973125,0.531914335836586
5324405,0,0.533114738469698,0.621342179418541,0.029449609583636,0.533105566962451
5328005,0,0.534306884385232,0.622689820970113,0.0294479042357452,0.534295625256222
5331605,0,0.535494569332107,0.624050202286186,0.0294464206377575,0.535483679349071
5335205,0,0.536677232526493,0.625020260380176,0.0294269262203079,0.536668426349546
5338805,0,0.537857602901676,0.625232969415601,0.0293733621461039,0.537851428348667
5342405,0,0.539032709085422,0.624967958916695,0.0292980024323163,0.539025358822444
5346005,0,0.540205290591844,0.624259052373279,0.0292022876034919,0.540199099951856
5349605,0,0.541377040813296,0.623628189106902,0.0291094143452329,0.541369528474009
5353205,0,0.542549910302227,0.623303157111115,0.0290307557481771,0.542539949183409
5356805,0,0.543720227051641,0.62346418807629,0.0289748790392508,0.543709131341676
5360405,0,0.544888061907076,0.623947040054635,0.0289352438440306,0.544876816208817
5364005,0,0.546050001401743,0.624744577944703,0.0289101218533064,0.546041455021447
5367605,0,0.547211051186872,0.625975725089688,0.0289052522532839,0.547200116158909
5371205,0,0.548367086120051,0.627859020079715,0.0289308904442482,0.548355427004069
5374805,0,0.549519667103276,0.630346392726181,0.0289844788186965,0.549507665599017
5378405,0,0.550669893622482,0.633299650050902,0.0290594359210317,0.550657154564494
5382005,0,0.551819603061274,0.636430149235733,0.0291427989342503,0.551807199614153
5385605,0,0.552967302142941,0.638913496802509,0.0291953759177035,0.552956337924893
5389205,0,0.554118102326983,0.640706861843532,0.0292162716086287,0.554105282755105
5392805,0,0.555266705379302,0.641914281050265,0.0292111690562289,0.555253471586573
5396405,0,0.556410071382305,0.642906648288658,0.0291957320561646,0.55639931015812
5400005,0,0.55755143530883,0.643636882145492,0.0291697305148282,0.557541569110086
5403605,0,0.558689537120395,0.643999924034487,0.0291267074964327,0.55867990835793
5407205,0,0.559829260098667,0.64368208643462,0.0290531212768982,0.559817754942764
5410805,0,0.560968382730017,0.642778407700612,0.0289529857467252,0.560958684807578
5414405,0,0.562100715690701,0.641818709045298,0.0288516880955401,0.562090953086793
5418005,0,0.563228069682239,0.64123580485716,0.0287677367621501,0.563217818157969
5421605,0,0.56434640834916,0.641089614603855,0.0287036018743358,0.564336676076501
5425205,0,0.565463819123558,0.641404656282409,0.0286607969592806,0.565452338579069
5428805,0,0.566580075207709,0.642040100714468,0.0286325983992023,0.566568241898257
5432405,0,0.567695914499283,0.642826373189065,0.0286111942046211,0.567683579482216
5436005,0,0.568811541254247,0.643736031049411,0.0285960024873165,0.568798346275634
5439605,0,0.5699239615586,0.644659802596617,0.0285819261236025,0.569909766453339
5443205,0,0.571032840046134,0.645618454250446,0.0285689444824144,0.571021229830973
5446805,0,0.572139513581333,0.646648658840474,0.0285593170073374,0.572128180194834
5450405,0,0.573242866577005,0.647589658369772,0.0285453872137119,0.573232060606352
5454005,0,0.574341565848953,0.648630403486999,0.028536496081287,0.57433116420879
5457605,0,0.575440902270699,0.649743116067544,0.0285305520014209,0.575428036121322
5461205,0,0.576536273642546,0.650985024357897,0.0285310635344068,0.576523618470041
5464805,0,0.577629622696332,0.652375216370342,0.0285377155627773,0.577617348736733
5468405,0,0.578719854546485,0.653588540985963,0.0285368069021351,0.57870867267551
5472005,0,0.579804252680687,0.654747475476977,0.0285340338358317,0.579793908641429
5475605,0,0.580886249427202,0.655778692880687,0.0285257373300474,0.580876853632435
5479205,0,0.581966713333914,0.656857161568265,0.0285198453085443,0.581957572907993
5482805,0,0.58304845522051,0.658356911068272,0.0285318918030951,0.583040467345891
5486405,0,0.584130445066486,0.660439525226768,0.0285691096897258,0.584121258314945
5490005,0,0.585209513684145,0.663057388446104,0.0286294216702857,0.585202581010776
5493605,0,0.586284034386349,0.665579163104128,0.028685409939064,0.586279740887996
5497205,0,0.587356649619626,0.665686357359766,0.0286374548932775,0.587354725602874
5500805,0,0.588428899124317,0.664280491307739,0.0285246067619971,0.588426241455435
5504405,0,0.589499269382131,0.662702419152235,0.028405441036447,0.589491091650992
5508005,0,0.590567785695045,0.661574838082231,0.0283053543157581,0.590554125611272
5511605,0,0.591631895783577,0.661216450542186,0.028239404094089,0.591616196305068
5515205,0,0.59269041091482,0.661285933513715,0.0281924754682597,0.592675549539552
5518805,0,0.593741160179099,0.661492111076098,0.0281513520461089,0.593730070356539
5522405,0,0.594787043643078,0.661649085444702,0.0281090441675506,0.594778330400956
5526005,0,0.595829604727387,0.661840292488399,0.028067952667989,0.595820800276276
5529605,0,0.596866899320078,0.661989047895343,0.0280258875021568,0.596857217565914
5533205,0,0.59789834639574,0.662304484870375,0.0279920230381536,0.597888703629709
5536805,0,0.59892596873247,0.662818159290405,0.0279645955666805,0.598915866024096
5540405,0,0.599946750334543,0.66361371856134,0.0279503770798693,0.599935934898362
5544005,0,0.600963875570842,0.66446186081095,0.0279380235156838,0.600954547843133
5547605,0,0.601980318113784,0.665620705558979,0.0279393588763633,0.601969700197913
5551205,0,0.602994747079347,0.666769866611638,0.027940268074979,0.602985113130983
5554805,0,0.604004789602076,0.668083264270244,0.0279485087531475,0.603995489595831
5558405,0,0.605013314006152,0.669388733029336,0.0279564096706395,0.605002206934848
5562005,0,0.606019509248185,0.670637636464817,0.0279625128350487,0.60600831947487
5565605,0,0.607026097820961,0.671961048478956,0.027971060808362,0.607013120851115
5569205,0,0.608027631978694,0.673314155805628,0.0279813630945669,0.608013633485554
5572805,0,0.60902234610339,0.674607467595434,0.0279890559145506,0.609009975948203
5576405,0,0.610012748771111,0.676002425601375,0.0280018244490733,0.610003144135279
5580005,0,0.6109994380286,0.677604218216549,0.0280223523017831,0.610991152228806
5583605,0,0.611987386864535,0.679451435992641,0.0280537567342159,0.611979519708969
5587205,0,0.612972227237518,0.681887007706438,0.0281096139253156,0.612964612726491
5590805,0,0.613957913156588,0.6845585158631,0.0281746415437874,0.613950241606953
5594405,0,0.614944958021869,0.687405343350104,0.0282478819096245,0.614934146166876
5598005,0,0.615925451515111,0.689802865106861,0.0283010603497686,0.615912331332053
5601605,0,0.616903749256737,0.691057598097041,0.0283076342429186,0.616890519254673
5605205,0,0.617883575237808,0.690734496109604,0.0282507949245451,0.617870727003721
5608805,0,0.618865473220821,0.689214133500763,0.0281405356742328,0.618850896148579
5612405,0,0.619845081604884,0.687128539661509,0.0280087589886789,0.619830126843933
5616005,0,0.620815553214836,0.685408889401079,0.0278962828742497,0.620802082487552
5619605,0,0.621775474820223,0.684225622809222,0.0278054570376853,0.621760283090211
5623205,0,0.622724510594797,0.683429416640941,0.0277312154997497,0.622711176930549
5626805,0,0.623670332558187,0.683142532357944,0.0276773076765139,0.623657474574274
5630405,0,0.62461445903957,0.683249578986023,0.0276396876196143,0.624600771310763
5634005,0,0.625534770590139,0.683794283660805,0.0276208056127872,0.625522193826714
5637605,0,0.626343929193234,0.684573983411939,0.0276163357463489,0.626332892642201
5641205,0,0.627011773223015,0.68560365258716,0.0276297230999346,0.627004012830224
5644805,0,0.627554483067495,0.687192182232643,0.0276710538801994,0.627545823972505
5648409,0,0.627968563870133,0.689397169482068,0.0277413065774027,0.627969922571229
5652005,0,0.629046179173187,0.69303585713104,0.0278389347226082,0.629040558515012
5655605,0,0.630116787939134,0.696558900602385,0.0279326855666071,0.630109675716719
